sample-id	Type	Phase	Soil	Status 	Species	Glade	Presence	A.ten	S.sco	Other Grasses	Other Legumes	Other Forbs	Woody	Bryophytes	Detritus	Gravel/Rock	Bare Ground	Avg	Avg Phosphate	Avg pH	Total N
S513-N704_P1R	Root	Two	AB	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S513-N705_P13R	Root	Two	AT	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S513-N706_P35R	Root	Two	AT	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S513-N707_P32N	Nodule	Two	AT	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S513-N710_P79N	Nodule	Two	AT	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S513-N711_P100N	Nodule	Two	SS	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S518-N703_Ab_CVL	Inoculum	None	HOME	Live	INO	CVL	HP														
S513-N714_P122R	Root	Two	AT	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S513-N718_P186N	Nodule	Two	SS	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S513-N723_P582R	Root	Two	SS	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S513-N727_P549R	Root	Two	AB	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S513-N729_P544R	Root	Two	AB	Live	AB	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S515-N703_Ab_DPE	Inoculum	None	HOME	Live	INO	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S515-N704_P4N	Nodule	Two	AB	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S515-N705_P14N	Nodule	Two	AT	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S515-N706_P46N	Nodule	Two	AB	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S515-N707_P32R	Root	Two	AT	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S515-N710_P79R	Root	Two	AT	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S515-N711_P100R	Root	Two	SS	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S515-N712_P56N	Nodule	Two	AT	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S515-N714_P123N	Nodule	Two	AT	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S515-N723_P590R	Root	Two	AB	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S515-N727_P2N	Nodule	Two	AB	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S516-N704_P4R	Root	Two	AB	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S516-N705_P14R	Root	Two	AT	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S516-N706_P46R	Nodule	Two	AB	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S516-N707_P55N	Nodule	Two	SS	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S516-N710_P80N	Nodule	Two	AT	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S516-N711_P103N	Nodule	Two	AT	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S516-N712_P56R	Root	Two	AT	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S516-N714_P123R	Root	Two	AT	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S516-N723_P591N	Nodule	Two	SS	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S516-N726_P545N	Nodule	Two	AB	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S516-N727_P2R	Root	Two	AB	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S517-N704_P6N	Nodule	Two	SS	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S517-N705_P15N	Nodule	Two	AT	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S517-N706_P50N	Nodule	Two	AB	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S517-N707_P55R	Root	Two	SS	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S517-N710_P80R	Root	Two	AT	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S517-N711_P103r	Root	Two	AT	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S517-N712_P95N	Nodule	Two	AB	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S517-N714_P124N	Nodule	Two	AT	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S517-N723_P591R	Root	Two	SS	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S520-N721_P551N	Nodule	Two	AB	Live	AB	CVL	HP														
S517-N726_P545R	Root	Two	AB	Live	AB	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S517-N727_P97N	Nodule	Two	SS	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S517-N729_P91R	Root	Two	AB	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S518-N702_Ab_DPW	Inoculum	None	HOME	Live	INO	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S518-N704_P6R	Root	Two	SS	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S518-N705_P15R	Root	Two	AT	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S518-N706_P50R	Root	Two	AB	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S518-N707_P58N	Nodule	Two	AT	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S521-N703_Blank_10	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S518-N710_P92N	Nodule	Two	AB	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S518-N711_P104N	Nodule	Two	AT	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S521-N706_Blank_11	Blank	Two	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S518-N712_P95R	Root	Two	AB	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S518-N714_P124R	Root	Two	AT	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S518-N723_P596N	Nodule	Two	AT	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S518-N726_P546N	Nodule	Two	AB	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S518-N727_P97R	Root	Two	SS	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S518-N729_P291R	Root	Two	AB	Sterile	SS	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S520-N702_Ab_MNS	Inoculum	None	HOME	Live	INO	MNS	HP	0	60.5	2.3	1	6.4	1.5	0.4	21.5	8	1.6	25.5	0.047	8	1.154
S520-N703_Ab_APT	Inoculum	None	HOME	Live	INO	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S520-N704_P9N	Nodule	Two	SS	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S520-N705_P33N	Nodule	Two	AT	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S521-N721_P551R	Root	Two	AB	Live	AB	CVL	HP														
S520-N706_P54N	Nodule	Two	SS	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S520-N707_P58R	Root	Two	AT	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S520-N710_P92R	Root	Two	AB	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S520-N711_P104R	Root	Two	AT	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S520-N712_P101N	Nodule	Two	AT	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S520-N723_P596R	Root	Two	AT	Live	AT	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S520-N726_P546R	Root	Two	AB	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S520-N729_P335R	Root	Two	SS	Sterile	SS	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S521-N704_P9R	Root	Two	SS	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S521-N705_P33R	Root	Two	AT	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S521-N707_P59N	Nodule	Two	AT	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S521-N710_P99N	Nodule	Two	SS	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S521-N712_P101r	Root	Two	AT	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S521-N724_P550N	Nodule	Two	AB	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S522-N711_Blank_12	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S521-N726_P549N	Nodule	Two	AB	Live	AB	DPE	HP	0.8	4	3.8	2.9	25.5	8.2	33	14.4	12.2	0.2	86.7	0.04	8	0.846
S522-N703_P1N	Nodule	Two	AB	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S522-N715_PCR-Blank3	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S522-N704_P13N	Nodule	Two	AT	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S522-N705_P35N	Nodule	Two	AT	Live	AT	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S522-N706_P54R	Root	Two	SS	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S522-N707_P59R	Root	Two	AT	Live	AB	DVS	HP	0.4	0.2	14.4	19.5	13.5	0.4	21.9	12.4	48.5	0.6	19.1	0.033	8.1	1.038
S522-N721_P552N	Nodule	Two	AB	Live	AB	CVL	HP														
S522-N710_P99R	Root	Two	SS	Live	AB	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S522-N712_P122N	Nodule	Two	AT	Live	AT	APT	HP	0.3	0.5	0.3	3	47.1	0.8	5	7	8	0.2	37.4	0.036	8	0.554
S522-N724_P550R	Root	Two	AB	Live	AB	CVL	HP														
S522-N726_Blank_14	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S522-N722_P582N	Nodule	Two	SS	Live	AB	DPW	HP	0.4	20.4	12	14.4	27.5	7	2.3	24.6	14	4.1	51	0.052	8.1	1.233
S522-N728_P544N	Nodule	Two	AB	Live	AB	CVL	HP														
S522-N729_PCR-Blank4	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S511-N719_TT1S4	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S511-N720_TT4S3	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
